textos;administracion
 abecma está indicado para el tratamiento de pacientes adultos con mieloma múltiple en recaída y refractario que han recibido al menos tres tratamientos previos, incluid os un agente inmunomodulador, un inhibidor del proteosoma y un anticuerpo anti -cd38 y han presentado progresión de la enfermedad al último tratamiento;3
 linfoma anaplásico de células grandes sistémico adcetris, en combinación con ciclofosfamida, doxorrubicina y prednisona (ch , está indicado para pacientes adultos con linfoma anaplásico de células grande s sistémico (lacg sin tratamiento previo.  adcetris está indicado para el tratamiento de pacientes adultos con lacgs en recaída o refractario.  linfoma cutáneo de células t adcetris está indicado para el tratamiento de pacientes adultos con linfoma cután eo de células t (lcc cd30+ tras, al menos, un tratamiento sistémico previo;4
 linfoma de hodgkin adcetris está indicado para pacientes adultos con linfoma de hodgkin (l cd30+ en estadio iii o iv sin tratamiento previo en combinación con doxorrubicina, vinblastina y dacarbacina (av .  adcetris está indicado para el tratamiento de pacientes adultos con lh cd30+ con mayor riesgo de recaída o progresión después de un trasplante au tólogo de células madre (tac .  adcetris está indicado para el tratamiento de pacientes adultos con lh cd30+ en recaída o refractario: 1.  después de tacm o 2.  después de al menos dos tratamientos previos cuando el trasplante autólogo de células madre o la poliquimioterapi a no es una opción terapéutica;4
" akeega está indicado con prednisona o prednisolona para el tratamiento de pacientes adultos con cáncer de próstata metastásico resistente a la castración (cprc y mutaciones en los genes brca1/2 (germinales o somática en los que la quimioterapia no está clínicamente indicada.  
";0
 alecensa en monoterapia está indicado para el tratamiento de pacientes adultos con cáncer de pulmón no microcítico (cpn avanzado, positivo para la quinasa del linfoma anaplásico (al : - de primera línea o - que han sido previamente tratados con crizotinib;4
 alimta en monoterapia está indicado como tratamiento de mantenimiento de pacientes con cáncer de pulmón no micro cítico localmente avanzado o metastásico, salvo aquéllos que tengan histología predominantemente de célula escamosa, cuya enfermedad no ha progresado inmediatamente después de un régimen quimioterápico basado en un platino;2
 cáncer de pulmón no microcítico alimta en combinación con cisplatino, está indicado para el tratamiento en primera línea de pacientes con cáncer de pulmón no microcítico localmente avanzado o metastásico, salvo aquellos que tengan una histología predominantemente de célula escamosa;1
 mesotelioma pleural maligno alimta en combinación con cisplatino, está indicado para el trata miento de pacientes con mesotelioma pleural maligno no resecable que no han recibido quimioterapia previamente;1
 mastocitosis sistémica avanzada (msa ayvakyt está indicado como monoterapia para el tratamiento de pacientes adultos con mastocitosis sistémica agresiva (ms , mastocitosis sistémica con neoplasia hematológica asociada (ms -nh o leucemia mastocítica (l después de, al menos, un tratamiento sistémico;2
 tumor del estroma gastrointestinal (teg irresecable o metastásico ayvakyt está indicado como monoterapia para el tratamiento de pacientes adultos con tumores del estroma gastrointestinal (teg irresecables o metastásicos portadores de la mutación d842v del receptor alfa del factor de crecimiento derivado de plaquetas (pdgfr ;0
 bavencio está indicadoen monoterapia para el tratamiento de los pacientes adultos con carcinoma de células de merkel (cc metastásico;0
 bavencio en combinación con axitinib está indicado para el tratamiento de primera línea de los pacientes adultos con carcinoma de células renales (cc avanzado;1
 bavencio está indicadoen monoterapia para el tratamiento de mantenimiento de primera línea de los pacientes adultos con carcinoma urotelial (c localmente avanzado o metastásico libres de progresión después de recibir quimioterapia con platino;4
 beromun está indicadoen adultos, como coadyuvante en la cirugía para la extirpación posterior del tumor, con el fin de evitar o retrasar la amputación o como medida paliativa, en caso de sarcoma de tejidos blandos de las extremidades inextirpable, utilizado en asociación con melfalán por perfusión de extremidad aislada (pe con hipertermia leve;0
 encorafenib está indicado: en combinación con binimetinib en adultos para el tratamiento del melanoma no resecable o metastásico con mutación braf v600 ;0
 encorafenib está indicado: en combinación con binimetinib en adultos para el tratamiento del melanoma no resecable o metastásico con mutación braf v600 (ver las secciones 4. 4 y 5.  en combinación con cetuximab, par a el tratamiento de pacientes adultos con cáncer colorrectal metastásico (ccr con mutación braf v600e, que han recibido terapia sistémica previa;2
 brukinsa en monoterapia está indicado para el tratamiento de pacientes adultos con linfoma de la zona marginal (lz que han recibido al menos una terapia previa con anticuerpos anti -cd20  brukinsa en monoterapia está indicado para el tratamiento de pacientes adultos con leucemia linfocítica crónica (ll ;2
 brukinsa en monoterapia está indicado para el tratamiento de pacientes adultos con macroglobulinemia de waldenström (m que han recibido al menos una terapia previa o como tratamiento de primera línea en pacientes que no son aptos para quimioinmunoterapia;4
 cabometyx está indicado como monoterapia para el carcinoma de células renales avanzado: como tratamiento de primera línea de pacientes adultos con riesgo intermedio o elevado en adultos después del tratamiento con una terapia previa dirigida al factor de crecimiento endotelial vascular (vegf, por sus siglas en inglé ;2
 cabometyx está indicado como monoterapia para el tratamiento del carcinoma hepatocelular (ch en adultos que han sido tr atados previamente con sorafenib cabometyx está indicado como monoterapia para el tratamiento de pacientes adultos con carcinoma diferenciado de tiroides (cd localmente avanzado o metastásico, refractario o no elegible a yodo radiactivo (ra que ha prog resado durante o después de una terapia sistémica previa;4
 - tratamiento en monoterapia de pacientes adultos con leucemia linfocítica crónica (ll no tratados previamente;1
 carvykti está indicado para el tratamiento de pacientes adultos con mieloma multiple en recaída y refractario que han recibido al menos tres tratamientos previos, incluidos un agente inmunomodulador, un inhibidor del proteosoma y un anticuerpo anti -cd38 y han presentado progresión de la enfermedad al último tratamiento;3
 el tratamiento de mantenimiento con ceplene está indicado para pacientes adultos con leucemia mieloide aguda (lm en primera remisión tratados de manera concomitante con interleucina 2 (il - .  no se ha demostrado completamente la eficacia de ceplene en pacientes mayores de 60 años ;1
 inducción de la remisión de la leucemia mieloide aguda en adultos y para otras leucemias agudas en adultos y niños incluyendo la profilaxis y tratamiento de las que involucran al snc (leucemia menínge ;0
 crysvita está indicado para el tratamiento de la hipofosfatemia ligada al cromosoma x en niños y adolescentes de 1 a 17 años con signos radiográficos de enfermedad ósea, y en adultos.  crysvita está indicado para el tratamiento de la hipofosfatemia relaci onada con fgf23 en la osteomalacia inducida por tumor asociada a tumores mesenquimales fosfatúricos que no se pueden curar por resección o que no se pueden localizar en niños y adolescen tes de 1 a 17 años y en adultos (oi;0
 elrexfio está indicadoen monoterapia para el tratamiento de pacientes adultos con mieloma múltiple en recaída y refractario, que han recibido al menos tres tratamientos previos, incluidos un agente inmunomodu lador, un inhibidor del proteasoma y un anticuerpo anti -cd38, y que han presentado progresión de la enfermedad al último tratamiento;3
 elzonris está indicado como monoterapia para el tratamiento de primera línea de pacientes adultos con neoplasia de células dendríticas plasmocitoides blásticas (ncdp ;1
 cáncer de mama cáncer de mama her2 -positivo enhertu en monoterapia está indicado para el tratamiento de pacientes adultos con cáncer de mama her2 -positivo no resecable o metastásico que han recibido una o más pautas previas dirigidas a her2  cáncer de mama con baja expresión de her2 enhertu como monoterapia está indicado para el tratamiento de pacientes adultos con cáncer de mama con baja expresión de her2 no resecable o metastásico que han recibido quimioterapia previa en el contexto metastásico o han desarrollado recurrencia de la enfermedad durante o en los 6 meses siguientes a la finalizació n de la quimioterapia adyuvante;2
 cáncer gástrico enhertu en monoterapia está indicado para el tratamiento de pacientes adultos con adenocarcinoma gástrico o de la unión gastroesofágica her2 -positivo avanzado que han recibido una pauta prev ia con trastuzumab   cáncer de pulmón no microcítico (cpn enhertu en monoterapia está indicado para el tratamiento de pacientes adultos con cpnm avanzado cuyos tumores tienen una mutación activadora de her2 (erbb y requieren tratamiento sistémico tras la quimioterapia basada en platino con o sin inmunoterapia;2
 enrylaze está indicado como un parte de un régimen quimioterápico multiagente para el tratamiento de la leucemia linfoblástica aguda (ll y el linfoma linfoblástico (ll en pacientes adultos y pediátricos (a partir de 1 me que han desarrollado hipersen sibilidad o inactivación silente a la asparaginasa derivada de e.  coli;0
 tratamiento de pacientes adultos con cáncer de mama localmente avanzado o metastásico con progresión de la enfermedad después de, al menos, un régimen de quimioterapia para la en fermedad avanzada.  la terapia previa debe haber incluido una antraciclina y un taxano en el ámbito adyu vante o metastásico, a menos que estos tratamientos no fueran adecuados para los pacientes.  tratamiento de pacientes adultos con liposarcoma irresecable que han recibido tratamiento previo con antraciclina (a menos que no fuera adecuad para la enfermedad avanzada o metastásica;2
 erleada e stá está indicado para :   en hombres adultos para el tratamiento del cáncer de próstata hormonosensib le metastásico (cphs en combinación con tratamiento de deprivación and rogénica (td ;0
 erleada e stá está indicado para :   en hombres adultos para el tratamiento del cáncer de próstata resistente a la castración no metastásico (cprc -n con alto riesgo de desarrollar metástasi s.  ;0
 indicadoen combinación con otros fármacos quimioter ápicos para tratar a pacientes, principalmente niños, con leucemia linfoblástica aguda que han desarrol lado hipersensibilidad (alergia clínica o inactivación silent a la asparaginasa de e.  coli o la asparaginas a pegilada obtenida de e.  coli ;0
 imbruvica en monoterapia está indicado para el tratamiento de pacientes adultos con leucemia linfocítica crónica (ll que no han sido previamente tratados;1
 imbruvica en monoterapia está indicado para el tratamiento de pacientes adultos con macroglobulinemia de waldenström (m que han recibido al menos un tratamiento previo, o en tratamiento de primera línea en pacientes en los que la inmuno -quimioterapia no se considera apropiada  imbruvica en combinación con venetoclax está indicado para el tratamiento de pacientes adultos con leucemia linfocítica crónica (ll que no han sido previamente tratados;4
 imbruvica en monoterapia está indicado para el tratamiento de pacientes adultos con linfoma de células del manto (lc en recaída o refractario;5
 imbruvica en monoterapia o en combinación con bendamustin a y rituximab (b está indicado para el tratamiento de pacientes adultos con llc que han recibido al menos un tratamiento previo;2
 imbruvica en monoterapia está indicado para el tratamiento de pacientes adultos con macroglobulinemia de waldenström (m que han recibido al menos un tratamiento previo, o en tratamiento de primera línea en pacientes en los que la in muno -quimioterapia no se considera apropiada  imbruvica en combinación con rituximab está indicado para el tratamiento de pacientes adultos con mw ;4
 carcinoma hepatocelular (ch imfinzi en combinación con tremelimumab está indicado para el tratamiento de primera línea de adultos con carcinoma hepatocelular (ch avanzado o irre secable;1
 cáncer de pulmón no microcítico (cpn imfinzi en monoterapia está indicadoen adultos para el tratamiento del cáncer de pulmón no microcítico (cpn localmente avanzado, no resecable, cuyos tumores expresan pd -l1 ≥ 1% en las células tumorales y cuya enfermedad no haya presentado progresión después de quimio rradioterapia basada en platino  imfinzi en combinación con tremelimumab y quimioterapia basada en platino está indicado para el tratamiento de primera línea de adultos con cpnm metastásico sin mutaciones sensibilizantes de egfr o mutaciones alk positivas;2
 imfinzi en monoterapia está indicadoen adultos para el tratamiento del cáncer de pulmón no microcítico (cpn localmente avanzado, no resecable, cuyos tumores expresan pd-l1 ≥ 1% en las células tumorales y cuya enfermedad no haya presentado progresión después de quimiorradioterapia basada en platino;2
 cáncer de pulmón microcítico (cp imfinzi en combinación con etopósido y carboplatino o cisplatino est á indicado para el tratamiento de primera línea de adultos con cáncer de pulmón microcítico en estadio extendido (cpm -e   cáncer de vías biliares (cv imfinzi en combinación con gemcitabina y cisplatino está indicado para el tratamiento de primera línea de adultos con cáncer de vías biliares (cv irresecable o metastásico;1
 imjudo en combinación con durvalumab está indicado para el tratamiento de primera línea de adultos con carcinoma hepatocelular (ch avanzado o irresecable;1
  imjudo en combinación con durvalumab y quimioterapia basada en platino está indicado para el tratamiento de primera línea de adultos con cáncer de pulmón no microcítico (cpn metastásico sin mutaciones sensibilizantes de egfr o mutaciones alk positivas ;1
 lnaqovi está indicadoen monoterapia para el tratamiento de pacientes adultos con leucemia mieloide aguda (lm de nuevo diagnóstico que no son candidatos a la quimioterapia de inducción estándar;0
 jaypirca en monoterapia está indicado para el tratamiento de pacientes adultos con linfoma de células del manto (lc en recaída o refractario que hayan sido tratados previamente con un inhibidor de la tirosina quinasa de bruton (bt .  condiciones de presc ripción y dispensación: con receta médica.  diagnóstico hospitalario;5
 jemperli está indicadoen combinación con carboplatino y paclitaxel para el tratamiento de pacientes adultas con cáncer de endometrio (c avanzado de nuevo diagnóstico o en recaída con deficienc ia del sistema de reparación de apareamientos erróneos (dmm /inestabilidad de microsatélites alta (msi- y que son candidatas a terapia sistémica;0
 adenocarcinoma gástrico o de la unió n gastroesofágica (ug keytruda, en combinación con trastuzumab, y quimioterapia basada en fluoropirimidina y platino, está indicado para el tratamiento de primera línea del adenoc arcinoma gástrico o de la unión gastroesofágica her -2 positivo localmente a vanzado irresecable o metastásico en adultos cuyos tumores expresen pd -l1 con una cps ≥ 1;1
 carcinoma de células escamosas de cabeza y cuello (ccec keytruda, en monoterapia o en combinación con quimioterapia basada en platino y 5-fluorouracilo (5-f , está indicado para el tratamiento de primera línea del carcinoma de células escamosas de cabeza y cuello metastásico o recurrente irresecable en adultos cuyos tumores expres en pd-l1 con una cps ≥ 1 ;1
 keytruda en monoterapia está indicado para el tratamiento del ca rcinoma de células escamosas de cabeza y cuello recurrente o metastásico en adultos cuyos tum ores expresen pd -l1 con una tps ≥ 50% y que progresen durante o después d e quimioterapia bas ada en platino   carcinoma de células renales (cc keytruda, en combinación con axitinib, está indicado para el t ratamiento de primera línea del carcinoma de células renales avanz ado en adultos ;4
 keytruda en monoterapia está indicado para el tratamiento del carcinoma de células escamosas de cabeza y cuello recurrente o metastásico en adultos cuyos tumores expresen pd-l1 con una tps ≥ 50% y que progresen durante o después de quimioterapia basada en platino  carcinoma de células renales (cc : keytruda, en combinación con axitinib, está indicado para el tratamiento de primera línea del carcinoma de células renales avanzado en adultos;4
 carcinoma urotelial keytruda en monoterapia está indicado para el t ratamiento del carcinoma urotelial localmente avanzado o metastásico en adultos que hayan recibido quimioterapia previa basada en platino ;2
" tipos de cáncer con inestabilidad de microsatélites alta (msi -h, por sus siglas en inglé o con deficiencia del sistema de reparación de apareamientos erróneos (dmmr, po r sus siglas en inglé cáncer colorrectal keytruda en monoterapia está indicadoen adultos con cáncer colorrectal con msi -h o dmmr en los siguientes contextos: - tratamiento de primera línea del cáncer colorrectal metastásico; - tratamiento del cáncer col orrectal irresecable o metastás ico después de quimioterapia de combinación previa basada en fluoropirimidina";1
 cáncer con msi-h o dmmr : keytruda en monoterapia está indicado para el tratamiento de los siguientes tumores con msi-h o dmmr en adultos con: ;0
" cáncer con msi-h o dmmr : keytruda en monoterapia está indicado para el tratamiento de los siguientes tumores con msi-h o dmmr en adultos con:   cáncer de endometrio avanzado o recurrente que ha progresado durante o después de un tratamiento previo basado en platino, en cualquier contexto, y que no son candidatas a cirugía curativa o radioterapia; ";4
 cáncer de cuello uterino keytruda, en combinación con quimioterapia con o sin bev acizumab, está indicado para el tratamiento del cáncer de cuello uterino persistente, recurrente o metastásico en mujeres a dultas cuyos tumores expresen pd -l1 con una cps ≥ 1;0
 carcinoma de esófago keytruda, en combinación con quimioterapia basada en platino y fluoropirimidina, está indicado para el tratamiento de primera línea del carcinoma de esófa go o adenocarcinoma de la unión gastroesofágica her -2 negativo localmente avanzado irresecable o metastásico, en adultos cuyos tumores expresen pd -l1 con una cps ≥ 1 0  cáncer de mama triple negativo (cmt keytruda, en combinación con quimioterapia como tratamiento neoadyuvante y luego continuado en monoterapia como tratamiento adyuvante después de la cirugía, está i ndicado para el tratamiento en adultos con cáncer de mama triple negativo localmente avanzado o en estadio temprano con riesgo alto de recidiva ;1
 keytruda, en combinación con quimioterapia, está indicado pa ra el tratamiento del cáncer de mama triple negativo localmente recurrente irresecable o metas tásico en adultos cuyos tumores expresen pd-l1 con una cps ≥ 10 y que no hayan recibido quimioterapia previa para la enfermedad metastásica   cáncer de endometrio (c keytruda, en combinación con lenvatinib, está indicado pa ra el tratamiento del cáncer de endometri o avanzado o recurrente en mujeres adultas con progre sión de la enfermedad durante o después de un tratamiento previo basado en platino, en cualquier contexto, y que n o son candidatas a cirugía curativa o radioterapia;4
 keytruda, en combinación con carboplatino y paclitaxel o nab-paclitaxel, está indicado para el tratamiento de primera línea del cáncer de pulmón no m icrocítico escamoso metastásico en adultos;1
 cáncer de pulmón no microcítico (cpn keytruda en monoterapia está indicado para el tratamiento de primera línea del cáncer de pulmón no microcítico metastásico en adultos cuyos tumores expresen pd -l1 con una proporc ión de marcador tumoral (tps, por sus siglas en inglé ≥50% sin mutaciones tumorales positivas de egfr o alk  keytruda, en combinación con pemetrexed y quimioterapia basada e n platino está indicado para el tratamiento de primera línea del cáncer de pulmón no microcítico no escamoso metastásico en adultos cuyos tumores no tengan mutaciones tumorales positivas de egfr o alk;1
 cáncer gástrico, de intestino delgado o biliar, irresecable o metastásico que ha progresado durante o después de al menos un tratamiento previo;2
" tipos de cáncer no colorrectal keytruda en monoterapia está indicado para el tratamiento de los siguientes tumores con msi -h o dmmr en adultos con : - cáncer de endometrio avanzado o recurrente que ha pro gresado durante o después de un tratamiento previo basado en platino, en cualquier contexto, y que no son candidatas a cirugía curativa o radioterapia; - cáncer gástrico, de intestino delgado o biliar, irresecable o metastásico que ha progresado durante o después de al menos un tratamiento previo";4
 keytruda en monoterapia está indicado para el tratamiento del cáncer de pulmón no microcítico localmente avanzado o metastásico en adultos cuyos tumores expre sen pd -l1 con una tps ≥1% y que hayan recibido al menos un tratamiento de quimioterapia previ o.  los pacientes con mutaciones tumorales positivas de egfr o alk deben haber recibido también te rapia dirigida antes de recibir keytruda  linfoma de hodgkin clásico (lh keytruda en monoterapia está indicado para el tratamiento de pacientes adultos y pediátricos a partir de 3 años de edad con linfoma de hodgkin clásico en re caída o refrac tario, que no han respondido a un trasplante autólogo de progenitores hematopoyétic os (tap o después de al menos dos tratamientos previos cuando el taph no es una opción de tratamiento;2
 melanoma keytruda en monoterapia está indicado para el tratamiento en adu ltos y adolescentes a partir de 12 años de edad con melanoma avanzado (irresecable o metastásic ;0
 kimmtrak está indicadoen monoterapia para el tratamiento del melanoma uveal irresecable o metastásico en pacientes adultos con antígeno leucocitario humano (hl -a*02:01 positivo;0
 kisplyx está indicado para el tratamiento de adultos con carcinoma de células renales (cc avanzado:   en combinación con pembrolizumab, como tratamiento de primera línea ;1
 leucemia linfoblástica aguda (ll de células b refractaria, en recaída post -trasplante o en segunda o posterior recaída en pacientes pediátricos y adultos jóvenes de hasta 25 años de edad, inclusive.  ;5
 linfoma folicular (l en recaída o refractario después de dos o más líneas de tratamiento sistémico en pacientes adultos ;5
 linfoma b difu so de célula grande (lbdc en recaída o refractario después de dos o más líneas de tratamiento sistémico en pacientes adultos.  ;5
  ledaga está indicado para el tratamiento tópico del linfoma cutáneo de células t de tipo micosis fungoide (lcct -m en pacientes adultos;0
 carcinoma diferenciado de tiroides (cd lenvima como monoterapia está indicado para el tratamiento de pacientes adultos con carcinoma diferenciado de tiroides (cdt papilar, folicular o de células hürthl en progresión, localmente avanzado o metastásico, resistente al tratamiento con yodo radioactivo (ra ;0
 carcinoma hepatocelular (ch lenvima como monoterapia está indicado para el tratamiento de pacientes adultos con carcinoma hepatocelular (ch avanzado o irresecable que no han recibido tratamiento sistémico previo;1
 cáncer endometrial (c lenvima en combinación con pembrolizumab está indicado para el tratamiento de mujeres adultas con cáncer de endometrio (c avanzado o recurrente en progresión, o después de haber recibido un tratamiento previo c on terapia con platino en cualquier fase y que no son aptos para un tratamiento curativo mediante cirugía o radiación ;2
 leuprorelina gp -pharm está indicado como tratamiento adyuvante, en combinación con tamoxifeno o un inhibidor de la aromatasa, del cáncer de mama hormonosensible en estadio temprano en mujeres pre y perimenopáusicas con alto riesgo de recurrencia ( edad joven, tumor de alto grado, afectación de los ganglios linfático .  en mujeres que han recibido quimioterapia, el estado premenopáusico debe confirmarse tras la finalización de la quimioterapia.  preservación de la función ovárica en mujeres premenopáu sicas con enfermedad neoplásica en tratamiento con quimioterapia que puede causar insuficiencia ovárica prematura.  leuprorelina gp -pharm está también indicadoen el tratamiento de la pubertad precoz central (pp en niños, diagnosticada clínicamente por la aparición de los caracteres sexuales secundarios antes de los nueve años en niñas y de los diez en niños;2
 carcinoma cutáneo de células escamosas libtayo en monoterapia está indicado para el tratamiento de pacientes adultos con carcinoma cutáneo de células escamosas metastásico o localmente avanzado (cccem o cccel que no son candidatos para cirugía curativa o radiación curativa;0
 carcinoma basocelular libtayo en monoterapia está indicado para el tratamien to de pacientes adultos con carcinoma basocelular localmente avanzado o metastásico (cbla o cb que ha progresado o que no toleran un inhibidor de la vía de señalización hedgehog (iv ;0
 carcinoma pulmonar no microcítico libtayo en monoterapia está indicado para el tratamiento de primera línea de pacientes adultos con carcinoma pulmonar no microcítico (cpn que expresan pd -l1 (en ≥50 % de las células tumorale , sin aberraciones en egfr, alk o ros1, que tienen: - cpnm localmente avanzado que no son ca ndidatos a recibir quimiorradiación definitiva, o - cpnm metastásico;1
 cpnm localmente avanzado que no son candidatos a recibir quimiorradiación definitiva, o ;0
 libtayo en combinación con quimioterapia basada en platino está indicado para el tratamiento de primera línea de pacientes adultos con cpnm que expresan pd -l1 (en ≥ 1% de las células tumorale sin aberraciones egfr, alk o ros1, que tienen - cpnm localmente avanzado que no son candidatos a recibir quimiorradiación definitiva, o - cpnm metastásico  cáncer de cuello uterino libtayo en monoterapia está indicado para el tratamiento d e pacientes adultas con cáncer de cuello uterino metastásico o recurrente cuya enfermedad ha progresado durante o después de quimioterapia basada en platino ;1
 este medicamento es únicamente para uso diagnóstico.  locametz, tras el marcaje radiactivo con galio -68, está indicado para la detección de lesiones positivas al antíge no prostático de membrana (psm mediante tomografía por emisión de positrones (pe en adultos con cáncer de próstata (ca en los siguientes escenarios clínicos: − estadificación inicial de pacientes con cap de alto riesgo antes de la terapia curativa inic ial.  − sospecha de recidiva de cap en pacientes con niveles crecientes de antígeno prostático específico (ps en suero después de la terapia curativa inicial.  − identificación de pacientes con cáncer de próstata resistente a la castración metastásico progresivo positivo a psma (cprc para los que está indicada la terapia dirigida con psma;2
 cáncer colorrectal lonsurf está indicadoen combinación con bevacizumab para el tratamiento de pacientes adultos con cáncer colorrectal metastásico (cc que hayan recibido dos regímenes previos de tratamiento anticanceroso incluyendo quimioterapias basadas en fluoropirimidi na, oxaliplatino e irinotecán, agentes anti -vegf y/o agentes anti -egfr;3
 lonsurf está indicado como monoterapia en el tratamiento de pacientes adultos con cáncer colorrectal metastásico que hayan sido previamente tratados o no se les considere candidatos al tratamiento  con terapias disponibles, incluidas quimioterapia basada en fluoropirimidinas, oxaliplatino e irinotecán, agentes anti -vegf y agentes anti -egfr  cáncer gástrico lonsurf está indicado como monoterapia en el tratamiento de pacientes adultos con cáncer gástrico metastásico incluyendo adenocarcinoma de la unión gastroesofágica, que han sido tratados anteriormente con al menos dos tratamientos sistémicos previos para la enfermedad avanzada;2
 en monoterapia está indicado para el tratamiento de adultos con cáncer de pulmón no microcítico (cpn avanzado con mutación kras g12c y que hayan progresado tras, al menos, una línea de tratamiento sistémico previo;2
 lunsumio como monoterapia está indicado para el tratamiento de pacientes adultos con linfoma folicular (l en recaída o refractario que han recibido al menos dos terapias sistémicas previas;3
 adenocarcinoma de páncreas lynparza está indicado como monoterapia para el tratamiento de mantenimiento de pacientes adultos con mutaciones germinales en brca1/2 que tienen adenocarcinoma de páncreas metastásico, cuya enf ermedad no ha progresado tras un mínimo de 16 semanas de tratamiento con platino como parte de un régimen de primera línea de quimioterapia;1
" 
cáncer de mama lynparza está indicado como:   monoterapia para el tratamiento de pacientes adultos con cáncer de mama localmente avanzado o metastásico her2 negativo, que tiene mutaciones germinales en brca1/2.  los pacientes deben haber recibido tratamiento previo con una antraciclina y un taxano en (ne adyuvancia o para la enfermedad metastásica, a menos que no fuesen aptos para estos tratamientos.  los pacientes con cáncer de mama con receptor hormonal (h positivo también deben haber progresado durante o después de la terapia endocrina previa o ser considerados no aptos para la terapia endocrina";2
 cáncer de ovario lynparza está indicado como monoterapia para el: ;0
 cáncer de próstata lynparza está indicado: ;0
 como monoterapia para el tratamiento de pacientes adultos con cáncer de próstata metastásico resistente a la castración (cprc y mutaciones brca1/2 (línea germinal y/o somátic que han progresado tras terapia previa que incluyera un nuevo agente hormonal  en combinación con abiraterona y prednisona o prednisolona para el tra tamiento de pacientes adultos con cprcm en los que la quimioterapia no está indicada a juicio del clínico;2
